TREATMENT,PERIOD,SEX,AGE,CONDITION
NONE,AFTER,F,A,196
NONE,AFTER,F,A,186
NONE,AFTER,M,A,214
NONE,AFTER,F,A,225
NONE,AFTER,F,J,123
NONE,AFTER,M,A,193
NONE,AFTER,M,A,163
NONE,AFTER,F,A,219
NONE,AFTER,M,J,118
NONE,AFTER,F,J,123
FIPRONIL,AFTER,M,A,185
FIPRONIL,AFTER,F,A,226
FIPRONIL,AFTER,F,A,172
FIPRONIL,AFTER,M,A,183
FIPRONIL,AFTER,F,A,222
FIPRONIL,AFTER,F,A,220
FIPRONIL,AFTER,M,A,228
FIPRONIL,AFTER,F,J,156
FIPRONIL,AFTER,M,A,218
FIPRONIL,AFTER,F,J,98
FIPRONIL,AFTER,F,J,169
FIPRONIL,AFTER,F,A,168
FIPRONIL,AFTER,F,A,179
FIPRONIL,AFTER,M,A,210
FIPRONIL,AFTER,F,J,134
FIPRONIL,AFTER,F,J,132
FIPRONIL,AFTER,F,A,147
FIPRONIL,AFTER,M,A,157
FIPRONIL,AFTER,F,J,104
FIPRONIL,AFTER,F,A,162
FIPRONIL,AFTER,F,A,192
FIPRONIL,AFTER,M,A,225
FIPRONIL,AFTER,M,A,160
FIPRONIL,AFTER,F,J,118
FIPRONIL,AFTER,M,J,163
FIPRONIL,AFTER,F,J,148
FIPRONIL,AFTER,F,A,151
FIPRONIL,AFTER,M,A,188
FIPRONIL,AFTER,F,A,142
